Robot X, Robot Y, Robot Yaw
(1.3, -0.77, -3.07),
(1.3, -0.77, -3.07),
(1.29, -0.77, -3.06),
(1.29, -0.77, -3.06),
(1.28, -0.77, -3.06),
(1.28, -0.77, -3.06),
(1.27, -0.77, -3.06),
(1.27, -0.77, -3.06),
(1.26, -0.77, -3.06),
(1.26, -0.77, -3.06),
(1.25, -0.77, -3.05),
(1.25, -0.77, -3.05),
(1.24, -0.77, -3.05),
(1.24, -0.77, -3.05),
(1.23, -0.77, -3.05),
(1.23, -0.77, -3.05),
(1.22, -0.77, -3.05),
(1.22, -0.77, -3.05),
(1.21, -0.78, -3.05),
(1.21, -0.78, -3.06),
(1.2, -0.78, -3.06),
(1.2, -0.78, -3.06),
(1.19, -0.78, -3.07),
(1.19, -0.78, -3.07),
(1.18, -0.78, -3.07),
(1.18, -0.78, -3.07),
(1.17, -0.78, -3.07),
(1.17, -0.78, -3.08),
(1.16, -0.78, -3.08),
(1.16, -0.78, -3.08),
(1.15, -0.78, -3.08),
(1.15, -0.78, -3.09),
(1.14, -0.78, -3.08),
(1.14, -0.78, -3.08),
(1.13, -0.78, -3.08),
(1.13, -0.78, -3.08),
(1.12, -0.78, -3.08),
(1.12, -0.78, -3.08),
(1.11, -0.78, -3.08),
(1.11, -0.78, -3.08),
(1.1, -0.78, -3.08),
(1.1, -0.78, -3.09),
(1.09, -0.78, -3.09),
(1.09, -0.78, -3.09),
(1.08, -0.78, -3.09),
(1.08, -0.78, -3.09),
(1.07, -0.78, -3.09),
(1.07, -0.78, -3.09),
(1.06, -0.78, -3.09),
(1.06, -0.78, -3.09),
(1.05, -0.79, -3.09),
(1.05, -0.79, -3.09),
(1.04, -0.79, -3.09),
(1.04, -0.79, -3.08),
(1.03, -0.79, -3.08),
(1.03, -0.79, -3.08),
(1.02, -0.79, -3.07),
(1.02, -0.79, -3.07),
(1.01, -0.79, -3.07),
(1.01, -0.79, -3.06),
(1.0, -0.79, -3.06),
(1.0, -0.79, -3.05),
(1.0, -0.79, -3.05),
(0.99, -0.79, -3.04),
(0.99, -0.79, -3.04),
(0.98, -0.79, -3.03),
(0.98, -0.79, -3.03),
(0.97, -0.79, -3.02),
(0.97, -0.79, -3.02),
(0.96, -0.79, -3.01),
(0.96, -0.79, -3.0),
(0.95, -0.79, -3.0),
(0.95, -0.8, -2.99),
(0.94, -0.8, -2.98),
(0.94, -0.8, -2.97),
(0.93, -0.8, -2.96),
(0.93, -0.8, -2.95),
(0.92, -0.8, -2.94),
(0.92, -0.8, -2.93),
(0.91, -0.8, -2.92),
(0.91, -0.8, -2.91),
(0.9, -0.8, -2.9),
(0.9, -0.81, -2.89),
(0.89, -0.81, -2.88),
(0.89, -0.81, -2.86),
(0.88, -0.81, -2.85),
(0.88, -0.81, -2.83),
(0.87, -0.81, -2.82),
(0.87, -0.81, -2.81),
(0.87, -0.82, -2.8),
(0.86, -0.82, -2.78),
(0.86, -0.82, -2.77),
(0.85, -0.82, -2.75),
(0.85, -0.82, -2.74),
(0.84, -0.82, -2.72),
(0.84, -0.83, -2.71),
(0.83, -0.83, -2.69),
(0.83, -0.83, -2.67),
(0.82, -0.83, -2.66),
(0.82, -0.84, -2.64),
(0.82, -0.84, -2.62),
(0.81, -0.84, -2.62),
(0.81, -0.84, -2.6),
(0.81, -0.84, -2.59),
(0.8, -0.85, -2.57),
(0.8, -0.85, -2.55),
(0.79, -0.85, -2.53),
(0.79, -0.85, -2.51),
(0.79, -0.86, -2.49),
(0.78, -0.86, -2.47),
(0.78, -0.86, -2.46),
(0.77, -0.87, -2.44),
(0.77, -0.87, -2.42),
(0.77, -0.87, -2.4),
(0.76, -0.88, -2.38),
(0.76, -0.88, -2.37),
(0.76, -0.88, -2.37),
(0.75, -0.89, -2.36),
(0.75, -0.89, -2.34),
(0.75, -0.89, -2.32),
(0.74, -0.9, -2.3),
(0.74, -0.9, -2.29),
(0.74, -0.9, -2.29),
(0.73, -0.91, -2.28),
(0.73, -0.91, -2.27),
(0.73, -0.91, -2.26),
(0.73, -0.92, -2.24),
(0.72, -0.92, -2.23),
(0.72, -0.93, -2.22),
(0.72, -0.93, -2.2),
(0.71, -0.93, -2.19),
(0.71, -0.94, -2.18),
(0.71, -0.94, -2.16),
(0.71, -0.95, -2.15),
(0.7, -0.95, -2.14),
(0.7, -0.95, -2.13),
(0.7, -0.96, -2.12),
(0.7, -0.96, -2.11),
(0.69, -0.97, -2.09),
(0.69, -0.97, -2.08),
(0.69, -0.98, -2.07),
(0.69, -0.98, -2.06),
(0.68, -0.98, -2.06),
(0.68, -0.99, -2.05),
(0.68, -0.99, -2.03),
(0.68, -1.0, -2.02),
(0.67, -1.0, -2.01),
(0.67, -1.01, -2.0),
(0.67, -1.01, -1.99),
(0.67, -1.01, -1.98),
(0.67, -1.02, -1.97),
(0.66, -1.02, -1.96),
(0.66, -1.03, -1.95),
(0.66, -1.03, -1.95),
(0.66, -1.04, -1.94),
(0.66, -1.04, -1.94),
(0.66, -1.05, -1.93),
(0.65, -1.05, -1.93),
(0.65, -1.05, -1.93),
(0.65, -1.06, -1.94),
(0.65, -1.06, -1.95),
(0.65, -1.07, -1.95),
(0.65, -1.07, -1.96),
(0.64, -1.08, -1.97),
(0.64, -1.08, -1.98),
(0.64, -1.09, -1.99),
(0.64, -1.09, -2.01),
(0.64, -1.1, -2.02),
(0.63, -1.1, -2.03),
(0.63, -1.1, -2.04),
(0.63, -1.11, -2.06),
(0.63, -1.11, -2.08),
(0.62, -1.12, -2.1),
(0.62, -1.12, -2.11),
(0.62, -1.12, -2.13),
(0.62, -1.13, -2.15),
(0.61, -1.13, -2.17),
(0.61, -1.14, -2.19),
(0.61, -1.14, -2.2),
(0.61, -1.14, -2.22),
(0.6, -1.15, -2.24),
(0.6, -1.15, -2.26),
(0.6, -1.16, -2.29),
(0.59, -1.16, -2.31),
(0.59, -1.16, -2.33),
(0.59, -1.17, -2.35),
(0.58, -1.17, -2.38),
(0.58, -1.17, -2.4),
(0.58, -1.18, -2.43),
(0.57, -1.18, -2.45),
(0.57, -1.18, -2.48),
(0.57, -1.18, -2.5),
(0.56, -1.19, -2.53),
(0.56, -1.19, -2.55),
(0.55, -1.19, -2.57),
(0.55, -1.2, -2.59),
(0.55, -1.2, -2.61),
(0.54, -1.2, -2.64),
(0.54, -1.2, -2.66),
(0.53, -1.2, -2.68),
(0.53, -1.21, -2.7),
(0.52, -1.21, -2.73),
(0.52, -1.21, -2.75),
(0.52, -1.21, -2.77),
(0.51, -1.21, -2.78),
(0.51, -1.22, -2.8),
(0.5, -1.22, -2.82),
(0.5, -1.22, -2.84),
(0.49, -1.22, -2.86),
(0.49, -1.22, -2.88),
(0.48, -1.22, -2.91),
(0.48, -1.22, -2.93),
(0.47, -1.22, -2.95),
(0.47, -1.23, -2.97),
(0.46, -1.23, -2.99),
(0.46, -1.23, -3.02),
(0.45, -1.23, -3.04),
(0.45, -1.23, -3.06),
(0.44, -1.23, -3.08),
(0.44, -1.23, -3.1),
(0.43, -1.23, -3.12),
(0.43, -1.23, 3.14),
(0.42, -1.23, 3.12),
(0.42, -1.23, 3.1),
(0.42, -1.23, 3.07),
(0.41, -1.23, 3.05),
(0.41, -1.23, 3.03),
(0.4, -1.23, 3.01),
(0.4, -1.23, 2.99),
(0.39, -1.23, 2.97),
(0.39, -1.22, 2.95),
(0.38, -1.22, 2.92),
(0.38, -1.22, 2.9),
(0.37, -1.22, 2.89),
(0.37, -1.22, 2.87),
(0.36, -1.22, 2.85),
(0.36, -1.22, 2.83),
(0.35, -1.22, 2.81),
(0.35, -1.21, 2.79),
(0.34, -1.21, 2.77),
(0.34, -1.21, 2.75),
(0.33, -1.21, 2.73),
(0.33, -1.21, 2.71),
(0.33, -1.2, 2.69),
(0.32, -1.2, 2.66),
(0.32, -1.2, 2.64),
(0.31, -1.2, 2.62),
(0.31, -1.19, 2.59),
(0.3, -1.19, 2.57),
(0.3, -1.19, 2.55),
(0.3, -1.19, 2.53),
(0.29, -1.18, 2.51),
(0.29, -1.18, 2.49),
(0.29, -1.18, 2.46),
(0.28, -1.18, 2.44),
(0.28, -1.17, 2.42),
(0.27, -1.17, 2.39),
(0.27, -1.17, 2.37),
(0.27, -1.16, 2.36),
(0.26, -1.16, 2.34),
(0.26, -1.16, 2.32),
(0.26, -1.15, 2.3),
(0.25, -1.15, 2.28),
(0.25, -1.14, 2.26),
(0.25, -1.14, 2.24),
(0.25, -1.14, 2.23),
(0.24, -1.13, 2.21),
(0.24, -1.13, 2.19),
(0.24, -1.13, 2.17),
(0.23, -1.12, 2.15),
(0.23, -1.12, 2.14),
(0.23, -1.11, 2.12),
(0.23, -1.11, 2.1),
(0.22, -1.11, 2.08),
(0.22, -1.1, 2.06),
(0.22, -1.1, 2.04),
(0.22, -1.09, 2.02),
(0.22, -1.09, 2.01),
(0.21, -1.08, 1.99),
(0.21, -1.08, 1.97),
(0.21, -1.07, 1.95),
(0.21, -1.07, 1.94),
(0.21, -1.07, 1.92),
(0.2, -1.06, 1.9),
(0.2, -1.06, 1.89),
